State,new_state
AK,Alaska
SD,S. Dakota
NV,Nevada
WY,Wyoming
ID,Idaho
VT,Vermont
NE,Nebraska
DE,Delaware
AR,Arkansas
IN,Indiana
KS,Kansas
CO,Colorado
NH,New Hampshire
ND,N. Dakota
KY,Kentucky
OH,Ohio
AZ,Arizona
MT,Montana
NM,New Mexico
UT,Utah
SC,S. Carolina
WI,Wisconsin
MO,Missouri
AL,Alabama
OR,Oregon
GA,Georgia
DC,D.C.
CT,Connecticut
PA,Pennsylvania
RI,Rhode Island
ME,Maine
FL,Florida
IA,Iowa
HI,Hawaii
WV,W. Virginia
WA,Washington
NC,N. Carolina
MS,Mississippi
TX,Texas
MD,Maryland
MN,Minnesota
VA,Virgina
CA,California
LA,Louisiana
OK,Oklahoma
MI,Michigan
MA,Massachusetts
NJ,New Jersey
IL,Illinois
TN,Tennessee
NY,New York
